lam,mu,method,ndcg@k,recall@k,category_coverage,exposure_parity,intra_list_sim,catalogue_coverage,gini,iif,aif,ibo,seconds,kwh,co2_kg,energy_measured
1.0,4.0,qubo_tabu,0.8333950087136192,0.325,1.0,0.19916666666666666,0.0052011145715943575,0.1824175824175824,0.8754395604395604,0.001871642623023874,0.00013469019340310524,0.6666666666666666,11.518979799999215,,,False
1.0,4.0,qubo_feasible,0.731036339105261,0.3,1.0,0.19916666666666666,0.004214060691655738,0.2139194139194139,0.8373882783882783,0.001882895370276621,0.00010595104335718904,0.5555555555555556,27.366530199999033,,,False
4.0,0.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0005029000003560213,,,False
4.0,0.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13989890000084415,,,False
4.0,0.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10719729999982519,,,False
4.0,0.0,qubo_sa,0.49139606457091906,0.275,0.925,0.53,0.001640039814041823,0.21245421245421245,0.8382271062271063,0.0019016499490311998,8.264351566161008e-05,0.4444444444444444,71.8923608999994,,,False
4.0,0.0,qubo_tabu,0.7127639063030393,0.275,0.90625,0.53,0.0014010336437483002,0.19194139194139195,0.8638095238095238,0.0019016499490311998,0.00010756231831294681,0.4444444444444444,11.20210170000064,,,False
4.0,0.0,qubo_feasible,0.7106199676603516,0.275,0.91875,0.4958333333333333,0.001399192868894231,0.19267399267399268,0.8632564102564103,0.0019016499490311998,0.00010759287632581903,0.4444444444444444,21.59575230000155,,,False
4.0,1.0,greedy_topk,1.0,0.325,0.6354166666666666,0.9291666666666668,0.0483253892932963,0.1304029304029304,0.9284578754578755,0.0018746433556246064,0.00024643788131827716,0.6666666666666666,0.0004938999991281889,,,False
4.0,1.0,mmr,0.935533766286089,0.325,0.7375,0.8116666666666668,0.01711379052549803,0.15677655677655677,0.9013919413919413,0.0018746433556246066,0.00016461058723516502,0.6666666666666666,0.13155670000014652,,,False
4.0,1.0,quota_mmr,0.868375820965225,0.325,1.0,0.25250000000000006,0.008897722530970847,0.17362637362637362,0.885003663003663,0.001871642623023874,0.00014827194245430807,0.6666666666666666,0.10613130000092497,,,False
4.0,1.0,qubo_sa,0.4692943991054113,0.225,0.99375,0.22166666666666662,0.0022603472838954287,0.21978021978021978,0.8296410256410256,0.0019749100222912733,8.564438174382197e-05,0.2222222222222222,71.99949199999901,,,False
4.0,1.0,qubo_tabu,0.6998435066484522,0.3,1.0,0.19916666666666666,0.001221417254818625,0.19413919413919414,0.8620732600732601,0.0018782067255879763,0.00010769702333633519,0.5555555555555556,11.516111900000396,,,False
